Message.Text,id
I'm sorry this is a movie ticket booking service.,72
"10 Cloverfield Lane, The Brothers Grimsby, and The Perfect Match come out this weekend.",73
"great, is there a location playing The Brother's Grimsby after 7:30pm?",74
"Okay, your purchase of 2 tickets for The Witch is confirmed.",75
I need 4 tickets to Eddie The Eagle in 94952,76
What date would you like me to look for?,77
"This next friday, sometime from 4pm to 7pm",78
Both 4:20pm and 6:55pm are available at Century Rowland Plaza. Which time would you prefer?,79
What city/zip code are you in?,80
Zootopia is playing in theaters all over Seattle. Where in Seattle are you interested in?,81
And what day would you like to see it?,82
this evening around 6 pm,83
Great. How many tickets will you need?,84
"yes, BELLEVUE LINCOLN SQUARE CINEMAS",85
7:30 in IMAX 3D would be great,86
"I've purchased your tickets for you, thank you.",87
"Hi, can I get movie tickets here?",88
"Yes, is there a certain movie you would like to book?",89
I was thinking Deadpool. When and where is that playing around Seattle tonight?,90
Can I get two tickets for the AMC Pacific Place 11 10:00pm showing?,91
i want to watch a funny movie in seattle at 5pm,92
I'll look for times for Zootopia.  What day would you like to go?,93
Great - how many tickets will you need?,94
What theater should I buy tickets from? At least give me your zipcode.,95
I've secured those tickets for you! What name should I put on the reservation?,96
"Hi, welcome to our service. How may I help you?",97
i want to purchase 2 tickets to see zootopia tomorrow evening around 6pm,98
At which theater would you like to purchase tickets at?,99
"yes, Regal Thornton Place at 6:40 pm please",100
"Great, your ticket order is confirmed!",101
You're welcome. Thank you for using our service!,102
Is it alright if I get some movie tickets?,103
I guess so. What theater would you like to get tickets to?,104
What theater has the cheapest tickets in Seattle?,105
Okay. What time is Zoolander 2 playing at the closest cinema to 98126?,106
And you would like these tickets for today?,107
I need two tickets to London Has Fallen in area code 90602,108
What day do you want to go?,109
"Next Sunday, any showtime between noon and 4pm",110
I would like to find a movie theater In Seattle playing the movie Deadpool,111
"What are the show times for BIG PICTURE SEATTLE 2505 1st Ave., Seattle, WA 98121.",112
I'm sorry that theater does not provide information or tickets that far in advance.,113
Hi! I'm looking for a good place to eat in Seattle.,114
I'm sorry this is a movie ticket booking service.,115
"Yes, yes! I'm sorry! I wanted to know the best movie out right now.",116
The top rated movie last weekend was Zootopia.,117
I want to take the kids to it this weekend.,118
Sure. Do you have a specific theater or area you want to see it at?,119
Perfect! That's what I wanted to hear. Thanks much!,120
Can I purchase movie tickets to a specific show for you?,121
It's going great! Would you like to purchase a movie ticket?,122
"Yes please, but I'm not sure what's playing. Could you recommend a drama?",123
Eddie the Eagle and The Big Short are both popular dramas out now.,124
Can I get one ticket for The Big Short? Where is it playing in Seattle?,125
"I can recommend the following comedy movies : Zootopia, Whisky Foxtrot Tango, Deadpool.",126
What actors are in Zootopia? Whisky Foxtrot Tango?,127
Zootopia is Disney animated movie. Whisky Foxtrot Tango stars Tina Fey and is rated R.,128
What times is Whisky Foxtrot Tango playing on Friday? Mall of Georgia movie theater.,129
I'd like to find a comedy playing tonight near my location.,130
Zootopia is currently the number 1 movie and comedy in America.,131
what time is it showing,132
I'm sorry can you clarify what city Safeco Field is in?,133
What are some good restaurants in Seattle?,134
I'm sorry this is a movie ticket booking service.,135
where is zootopia showing near me,136
What City and State would you like me to look?,137
"I found zootopia showing at : REGAL MERIDIAN 16, BELLEVUE LINCOLN SQUARE CINEMAS, VARSITY THEATRE.",138
can i purchase 2 tickets at Bellevue Lincoln Square Cinemas,139
On what date would you like to see this movie?,140
What time would you like to view your movie?,141
"yes, the 3D at 7:30 please",142
Could I have a name to place on the reservation?,143
"Okay, your purchase of 2 tickets for The Big Short is confirmed.",144
Hi. Any good action movies showing this week?,145
"London Has Fallen, The Revenant and Deadpool are all current action movies.",146
"Oh, I wanted to see Deadpool! Is it showing anywhere tomorrow afternoon?",147
"Sure, what city are you located in?",148
That's exactly what I needed. Thank you so much!,149
Would you like to purchase tickets?,150
Hi! Can you help me find a nice romantic movie?,151
Is mei Ren Yu a foreign movie? Is it in subtitles?,152
"Yes, it is Mandarin with English and Chinese Subtitles.",153
I'm near St. Louis. Is there anywhere near here where it is showing?,154
where can I see zootopia tonight,155
What City and State would you like me to look for?,156
I want to purchase 4 tickets please,157
I have secured those tickets for you! Thank you for using our service!,158
"Hello, I'd like to purchase some movie tickets.",159
Hello. What theater would you like to purchase tickets to?,160
"There's a theater in Bellevue, Washington... I can't remember the name.",161
"Are you thinking of BELLEVUE LINCOLN SQUARE CINEMAS 700 Bellevue Way NE, Bellevue, WA 98004?",162
Great - is there a certain movie you'd like tickets for?,163
The superhero movie with Ryan Reynolds... I can't think of the name.,164
Are you thinking of DEADPOOL?,165
"Yes, when's the soonest showing of that near 98119?",166
And how many tickets would you like to purchase?,167
"Hi, are there any romantic comedies showing tomorrow afternoon?",168
What location are you located?,169
"Sorry. I'm in Sparta, Illinois.",170
Huh. The theater there may have closed. How about Shiloh or Belleville?,171
"I have purchased your tickets, thank you.",172
Are there any good kids movies showing in St. Louis on Thursday afternoon?,173
Zootopia is rated PG and has a 4.5/5 star rating.,174
"Sounds good,. Any matinee, anywhere, 2 adults, 2 kids.",175
Perfect! Thank you so much!,176
"Hi, I'd like to know where Kung Fu Panda 3 is playing near me.",177
"Certainly, what city/zip code are you in?",178
Great! Is there a show around 8pm tonight at the Regal Marysville 14?,179
There is a 9:10 showtime avaiable. How many tickets would you like?,180
I have successfully purchased your tickets. Enjoy!,181
"Okay, your purchase of 2 tickets for Race is confirmed.",182
What movies are coming out this weekend,183
"Hello, can I help you book a movie ticket?",184
"Great, I've secured that ticket! What name shall I put on the reservation?",185
"Okay, your purchase of 2 tickets for Zootopia is confirmed.",186
I'm looking for a pub that serves good burgers near the Space Needle.,187
i want to see zootopia this saturday around 2pm,188
Great - what city/zip code are you located in?,189
How many tickets would you like?,190
Please show me highest rated pizza restaurants near safeco field.,191
I'm sorry this is a movie booking service.  I cannot search restaurants.,192
Ok what is a drama that is showing tonight near safeco field.,193
The Big Short is a drama that is playing tonight in your area.,194
I would like to purchase 2 adult tickets for the next showing.,195
I am looking for a pizza place in the Seattle area for tomorrow night,196
"Yes, are you looking for a kids movie?",197
"Yes, but definitely animated. Not live action.",198
Zootopia is animated and is currently rated 4.5/5 stars.,199
Can you list Italian restaurants in Seattle?,200
"I have secured those tickets for you. What name should be on the tickets, please?",201
Where would I find the first movie?,202
What date would you like to go to the movies?,203
Not sure when that movie comes out.,204
I have only learned how to purchase tickets to movies for you at this time.,205
Thank you for trying our service. Try again soon for increased functionality.,206
I need one ticket to see Zootopia tomorrow night in Seattle.,207
What time would you like me to search for?,208
Can you find the showtimes for Risen at Regency Commerce 14 for tomorrow?,209
The showtimes are: 11:50am 2:30pm 5:10 7:50 10:25,210
"Great, how many tickets would you like?",211
"Okay, your purchase of 2 tickets for Zoolander 2 is confirmed.",212
Hi - would you like to purchase movie tickets?,213
Yes. I want to purchase tickets for Zootopia.,214
At which Movie Theater would you like to purchase tickets at?,215
At AMC River East 21,216
When would you like to go?,217
I cannot book tickets that far in advance for that movie. Sorry.,218
How about tomorrow night then?,219
Do you want to purchase 2D or 3D tickets?,220
There are showtimes at 6pm and 9:01pm. Which of these would you prefer?,221
"Okay, your purchase of 2 tickets for Deadpool is confirmed.",222
Do you recommend any movies for me?,223
"Yes, what type of movies do you like? Action, Drama, Comedy?",224
CARMIKE SUMMIT 16 at 2:15pm,225
How many tickets would you like to purchase?,226
I have purchased your tickets for you. Thank you.,227
"Okay, your purchase of 2 tickets for Hail Caesar is confirmed.",228
"Hi, I'd like some movie tickets for Seattle, Washington please.",229
Great - is there a type of movie that you prefer?,230
"How To Be Single, Brooklyn, and MEI RÃ‰N YÃ_are the top romance movies out now.",231
"Okay, your purchase of 2 tickets for Zootopia is confirmed.",232
i want to watch zootopia tonight,233
And how many tickets would you like?,234
I have secured those tickets for you! Could you please provide me with your name?,235
where can I see zootopia tomorrow night,236
Zootopia is playing all across the country. Where would you like to see it?,237
yes the Regal Meridan 16,238
Great - how many tickets should I purchase for you?,239
And how many adults/children will there be?,240
"I apologize, do you want four tickets or two?",241
"sorry, plans changed, I need 2 tickets",242
"Great, I have secured these tickets for you! Thank you for using our service!",243
What movie theatres are showing PG movies this weekend?,244
What City and State would you like me to look for a reservation?,245
Can you reserve 5 tickets at Regal Meridian 16 for the Saturday matinee showing?,246
Tickets are not available that far in advance for that movie.,247
Hey is the Avengers still playing in theaters?,248
"No, it is no longer in theaters.",249
"Thanks! Hey, when does Finding Dory come out in theaters?",250
"Finding Dory will be released on June 17, 2016.",251
Can you tell me what Rated PG movies are playing right now?,252
At what theater would you like me to check?,253
"any theater in Des Moines, Iowa",254
let's do zootopia tomorrow around 7pm. there will be 4 of us,255
I would like to book a restaurant.,256
I have secured those tickets for you! What name should I put on the reservation?,257
"Hello, would you like to purchase movie tickets?",258
Is there a indian restaurant in the seattle area?,259
"This is a movie purchasing service, sir.",260
Great! Your tickets are confirmed!,261
"Whart name shall I use for the reservation, please?",262
"Okay, your purchase of 2 tickets for Race is confirmed.",263
Can you book me the latest action movie at the closest theater to 90601?,264
"Next Saturday, the showing that is closest to noon",265
The following times are available Tonight : 8:30pm 11:00pm,266
"Okay, your purchase of 2 tickets for Zootopia is confirmed.",267
"Can I have 2 tickets for Deadpool today around 4 PM in Birmingham, AL",268
"Carmike Summit 16 in Birmingham, AL",269
i would like to purchase tickets for star wars for this friday,270
"Star Wars is still playing in some theaters, what city are you located in?",271
the regal lloyd center 10.,272
How many tickets would you like?,273
I have purchased your tickets. Thank you.,274
i would like to purchase ticket for joy this friday,275
What City and State would you like me to look for a ticket?,276
sure. what about star wars,277
the 10 o clock would be great,278
How many tickets would you like?,279
Great. I've ordered your tickets. Thank you.,280
thank you for the fabulous service and have a wonderful day,281
Can you recommend a good R-rated movie in theaters now?,282
"Sure, do you have a specific genre in mind?",283
"Here are some suggestions: Deadpool, How to be Single, Whiskey Tango Foxtrot.",284
"I'm sorry, I am unable to book tickets at this theater until 3/17.",285
"Okay, how about a theater in Pittsburgh?",286
I found showtimes at AMC LOEWS WATERFRONT 22. Would you like this theater?,287
Yes please. Two tickets to their latest showing the night of 3\/9\/2016,288
What are the new releases showing tonight?,289
Can i get 2 tickets for 10 Cloverfield Lane?,290
Any Theater in Royal Oak MI,291
Great! I've purchased your tickets. Thank you.,292
Thank you have a great day!,293
"Your tickets will be available at the box office window, thank you!",294
What movies are playing around 7pm in the Seattle area tomorrow?,295
I will take the one on Aurora at 7:25,296
How many tickets should I purchase?,297
"Thank you for using our service, good bye.",298
1:30 today would be fine,299
Great. I have purchased your tickets. Thank you.,300
There is a 1:35 PM showing. Would you like to go with that?,301
Great. I have purchased your tickets. Thank you.,302
What movies are opening this weekend?,303
"Yes, I want to see 10 Cloverfield Lane",304
What city are you located in?,305
How many tickets would you like?,306
"thanks(), what day to you want to go to the movie?",307
"I want to go this Saturday, March 12",308
yes I would like to purchase tickets,309
What time would you like the tickets for?,310
"Your tickets will be available at the box office, enjoy the show!",311
Hello? Can I get some tickets?,312
Hi. You sure can. What city are you located in?,313
What movie are you interested in seeing?,314
Kung Fu Panda 3 in 3D,315
On what date would you like tickets?,316
"Saturday evening please, between 5pm and 6pm.",317
Yes it would. Book 3 tickets please.,318
Great. I've purchased your tickets. Thank you.,319
Any good action movies out?,320
"Can you find 2 tickets for Deadpool in Birmingham, AL today around 2PM",321
"Can you find a good action movie for 2 people this saturday in Birmingham, Alabama?",322
At what showtime range would you like?,323
London Has Fallen sounds good,324
Great. I've purchased your tickets. Thank you.,325
i would like tickets for star wars in portland oregon,326
Hi. What day would you like to go?,327
Living Room Theaters would be great. between 8 and 10 pm. please,328
Is this the movie line?,329
This is! How can I be of service today?,330
12:45 for the standard please. 2 tickets.,331
I have secured those tickets for you! Thank you for using our service!,332
i would like tickets for 10 cloverfield lane,333
What City and State would you like me to look for tickets?,334
Regal Pioneer Place Stadium please,335
What day would you like tickets for? It comes out on Thursday.,336
And how many tickets would you like?,337
2 adult ticket please and thank you,338
What time range would you like to see the movie?,339
"10 pm or some time close to that. i am not picky, thank you",340
yes that would be great,341
Great. I've purchased your tickets for you. Thank you.,342
"Hi, can I get a movie ticket?",343
What Date and Movie were you looking for?,344
Friday night around 8pm. I was hoping for Deadpool. Near 98119,345
How many tickets would you like?,346
"You're welcome, enjoy the movie!",347
What time is Zootopia playing near me?,348
What city are you located in?,349
"yes, for Pacific Science Center",350
What day would you like to go?,351
How many tickets would you like?,352
Are you looking to see a matinee or later in the evening?,353
"a matinee, the earliest show possible",354
Would you like a 3D showing or standard?,355
"Great, I have purchased your tickets. Thank you.",356
"Hello, I need some Deadpool tickets.",357
Hi. What city are you located in?,358
What day would you like to go?,359
How many tickets would you like?,360
Around what time would you like to see the movie?,361
Are you looking for tickets on 3/9/2016 or 3/10/2016?,362
Two tickets for the 9:50pm showing please,363
Success! I have booked 2 tickets for Deadpool at Richland Cinemas on 3/9 at 9:50PM.,364
"Can I have 2 tickets for Zootopia today around 4 PM in Birmingham, AL",365
Would you like to see it in 3D or standard?,366
I have purchased your tickets for you. Thank you.,367
Are there any movie theaters near Seattle that serve alcohol?,368
"Yes the following theaters serve alcohol: Big Picture, Sundance Cinemas and Central Cinema.",369
Are there any comedies playing at the Big Picture?,370
There are no comedies playing at the big picture currently. Currently playing is : DEADPOOL.,371
Please get first available for Deadpool,372
Would you like to go today?,373
I have successfully purchased your tickets! Enjoy the show!,374
How many tickets would you like?,375
Book the Century Centre 9 tickets at 10pm,376
I need some tickets for northern San Francisco.,377
Hi. What movie are you interested in seeing?,378
"Whiskey Tango Foxtrot in Altoona, Pennsylvania please",379
What day would you like to go?,380
How many tickets would you like?,381
Around what time would you like to see this movie?,382
"Yes please, 7:40pm works well. Please buy tickets for then",383
Success! I have booked 6 tickets for Whiskey Tango Foxtrot at CARMIKE 12 at 7:40PM.,384
You're welcome. Enjoy the movie!,385
There is a 4:20pm and a 7:20pm showing. Which would you prefer?,386
I have purchased your tickets. Thank you.,387
I have purchased your tickets. Thank you.,388
"Hello, can I buy some movie tickets for tonight?",389
Sure. What is your location?,390
What day would you like to go?,391
How many tickets would you like?,392
What type of movie would you like to see?,393
I'd like to see Whiskey Tango Foxtrot,394
Around what time would you like to see the movie?,395
Cobb Dolphin Cinemas at 9:05 please,396
Great. I have purchased your tickets. Thank you.,397
Can you find 2 tickets to zootopi a in Birmingham al,398
Sure! What day would you like to go?,399
please get tickets at The CARMIKE SUMMIT 16 for 1:30,400
Great. I have purchased your tickets. Thank you.,401
i would like to buy tickets for the new batman movie for this weekend,402
Century Eastport 16 for saturday any time,403
10 pm for 2 adults please,404
Great. I've purchased your tickets. Thank you.,405
thank you and have a wonderful day,406
"Hi, I need some Whiskey Tango Foxtrot tickets please.",407
I'd be glad to help. Can you provide your location?,408
"Albany, NY. I need two tickets for the soonest showing at any theater in Albany",409
Great. I have purchased your tickets. Thank you.,410
I'd like to buy some movie tickets.,411
I'd be glad to help. Can you provide your location?,412
"Yes, I'm in Norfolk, Virginia",413
What date would you like to see your movie?,414
Around what time would you like to see the movie?,415
What type of movie are you looking for?,416
I'd like to see London Has Fallen,417
How many tickets would you like?,418
"Good morning, would you like to purchase some movie tickets?",419
"emagine theater in royal oak, MI",420
"Thank you, is there a particular movie or genre that you would like to see?",421
I would like to see Deadpool,422
Great - what day should I look up for you?,423
Any other theater nearby would be great,424
7:15 PM Would be great!,425
How many tickets would you like to purchase?,426
"Thank you for using our service, good bye.",427
"oops, yes, we need a date movie after dinner in wilmington, nc",428
Will you be purchasing three tickets?,429
"we aren't that kinky, there is just 2 on this date",430
Hi. This service is for ordering movie tickets. Would that interest you?,431
Can I help you find movie tickets?,432
"There is a 2:20 PM showing, would you like me to purchase these for you?",433
Great. I've purchased your tickets. Thank you.,434
I have purchased your tickets for you. Thank you.,435
Hey there. I'm looking to book a movie in Lansing Michigan at 6pm tomorrow.,436
Do you have a genre in mind?,437
I'm sorry I could not understand your response.  Could you please try again?,438
I would like to see Whiskey Tango Foxtrot,439
Would you like to see showtimes from one of those theaters?,440
yes NCG Eastwood Cinemas around 3 PM,441
2 tickets at 4:25 please,442
Great. I have purchased your tickets. Thank you.,443
I'm looking for an action movie,444
What day would you like to go to the movies?,445
what are the ratings for london has fallen and gods of egypt?,446
london has fallen sounds good,447
"Can you find a family friendly movie in Birmingham, AL this Saturday for 3 people?",448
"Zootopia at CARMIKE SUMMIT 16 in birmingham, alabama around 2 PM",449
Would you like to see this ins 3D or standard?,450
I found showtimes for 1:45PM and 2:15PM. Which would you like?,451
Can you find showtimes near 55416 for the movie London Has Fallen?,452
"Hello, can I help you book a movie ticket?",453
Hi there I want to book tickets for the new batman movie?,454
What movies are playing near me?,455
Could you please provide your location?,456
the movie joy in atlanta going to the campcreek area,457
What date would you like to go?,458
How many tickets would you like?,459
Can you tell me some showtimes? Zootopia please. Tomorrow afternoon in northern San Francisco.,460
Would you like to know about a specific theater or general showtimes?,461
General showtimes in northern San Francisco please,462
Would you like the standard or 3D showing?,463
Can I get three tickets for that 1:45 showing at AMC Van Ness?,464
"You're welcome, have a good day!",465
What was your favorite part of Deadpool?,466
Hello. I haven't had the opportunity to watch it yet.,467
Do you think it is worth watching?,468
Is this where I buy movie tickets?,469
I want to see Deadpool in Long Island NY,470
Great. What day would you like to go?,471
Two tickets for tonight please,472
AMC Loews Stony Brook please,473
Would you like the 7:30 PM showing or the 8:15 PM showing?,474
Great. I've purchased your tickets. Thank you.,475
Can I get some movie tickets?,476
I'm in northern San Francisco. I was thinking Kung Fu Panda 3 for tomorrow afternoon.,477
How many tickets will you be purchasing?,478
2 adult and 1 child,479
Would you like the standard showing or 3D?,480
Book 2:25 at the AMC please,481
Great. I have purchased your tickets. Thank you.,482
i would like tickets for star wars in portland oregon,483
"Great, how many tickets would you like?",484
I have purchased your tickets. Thank you.,485
I would like to  purchase 3 tickets to Gods Egypt,486
Great. First I need your location and number of tickets?,487
What date would you like to go?,488
Did you mean Friday the 11th?,489
What time would you like me to search for?,490
"yes, 2d would be fine",491
Which one would you like to book?,492
AMC La Mirada would be great,493
Thank you! Have a wonderful day.,494
Hi - can I get 4 tickets for Zootopia?,495
Absolutely. Where and when would you like to see it?,496
"Tampa, Fl - Saturday afternoon",497
Would you like to see it in 3D or standard?,498
Great I'll take the 3:30 show.,499
"I've purchased and confirmed your tickets, enjoy the show!",500
I'm sorry I don't understand.  Would you like to purchase movie tickets?,501
"Hello!, what is the best movie to watch today?",502
Lets start with your location so I can find available ones in your area.,503
What date would you like me to look?,504
Would you like 2d or 3D or IMAX?,505
What time would you like me to search for?,506
"I'm sorry, there is no movie called Zoology right now.  Did you mean Zootopia?",507
Bummer. 3D would be cool.,508
What movie theaters near Stony Brook NY are showing The Young Messiah as a matinee?,509
What day would you like to go?,510
yes please. I need 3 adult tickets and 1 child's ticket,511
Your tickets were booked for The Young Messiah. Enjoy the movie!,512
what movie do you recommend?,513
Hi. First I'll need your location to see what movies are playing locally.,514
What date would you like me to look?,515
What time would you like me to search for?,516
I am trying to get tickets to a sci-fi movie in miami,517
"Okay, what day would you like to go?",518
Yes the one at Cinepolis Coconut Grove Please,519
"Great, how many tickets should I purchase for you?",520
I've purchased your tickets at Cinepolis at 11:20 for one. Thank you.,521
Thank you for using our service. Please try again soon for increased functionality.,522
"Sure, what city are you located in?",523
Deadpool is playing at 10:05 at Cinemark Tinseltown 9. Would you like to purchase tickets?,524
Yes please do thanks a ton!,525
How many tickets will you need?,526
Thanks so much have an amazing day!,527
I WOULD LIKE TICKETS TO STAR WARS IN PORTLAND OREGON,528
What day would you like to go?,529
"Thank you, how many tickets will you need?",530
CENTURY 16 EASTPORT PLAZA  at 10 pm please,531
thank you. have a super wonderful day!!!,532
"Thank you for using our service, good bye.",533
What movies are playing right now that are appropriate for the whole family?,534
Great. Do you have a preference between Kung Fu Panda 3 or Zootopia?,535
Would you like to see it in standard or 3D format?,536
When would you like to go?,537
How many tickets would you like?,538
Fangandgo ticketing is not available at this theater. Would you like to try someplace else?,539
"ok, what other theaters are available?",540
Frank Theatres Parkside Town Commons Stadium 11 is available.,541
ok I will take 4 tickets for that theater then,542
I need tickets to see Zootopia tomorrow at 8PM in Los Angeles.,543
"Certainly, how many tickets do you need?",544
Would you like to see it in 3D or standard format?,545
I am interested in a Romantic Comedy for Friday night for me and my girlfriend.,546
I would like an AMC theater near zip code 85249,547
"Would you like to see showtimes for AMC Ahwatukee 24, or AMC Mesa Grand 24?",548
Mesa Grand 24 is closer,549
Maybe just a regular ole' comedy,550
Whiskey Tango Foxtrot.. Is that the new movie with TIna Fey in it?,551
"Yes it is, the movie is getting good reviews. Would you like to see it?",552
Yes good suggestion! Please book my tickets,553
There is a 7:25 and a 10:30 showtime. Which would you prefer?,554
I have purchased your tickets. Thank you and enjoy the show!,555
how much are tickets at my local theater,556
"I can check prices, what theater do you use?",557
The adult ticket price for an evening show is $10.90.,558
Is that all I can help you with today?,559
I would like to eerve some movie tickets for Whiskey Tango Foxtrot,560
Hi. What is your location?,561
When would you like tickets for?,562
What time would you like me to search for?,563
Which one of those theaters would you like to go to?,564
Fandango ticketing not available at that theater. Would you like to try a different theater?,565
Regal Crossroad then at 7:15,566
i would like tickets for zootopia in portland oregon please,567
I'd love to help you with that! What day would you like to see it?,568
friday after 5 pm please,569
Would you like to see it in 3D or standard?,570
Regal Pioneer Place would be great,571
How many tickets would you like to purchase?,572
There is a 9:30pm showtime. Would you like me to purchase the tickets?,573
I have purchased your tickets. Thank you and enjoy the show!,574
thanks have a super wonderful day,575
You too! Thank you for using our service. Please try again soon for increased functionality.,576
I am trying to see LoLo.,577
What day would you like to go?,578
"Thanks, how many tickets will you need?",579
I do not see any movie named 'LoLo'. Are you interested in any other movies?,580
I have completed that reservation for you. Thanks for using our service!,581
I need movie tickets for two people for Zootopia,582
I would like tickets for South Point Casino Las Vegas NV,583
What day would you like to go?,584
I want to see The Brothers Grimsby.,585
"I'd love to help you with that! What city, please?",586
Sure. And when would you like to see that movie?,587
"Thanks, how many tickets will you need?",588
There are several show times on Friday. Do you have a time range in mind?,589
 7:40 at Regal South Beach works.,590
I have successfully purchased your tickets! Enjoy!,591
Thank you. Enjoy your day!,592
"Where is Zootopia playing in Fresno, California?",593
I would like tickets for  the Maya Fresno 16,594
What day would you like to go?,595
"Great, how many tickets will you need?",596
I would like to go at 4 pm,597
Three's a 340pm and a 425pm at that theater. Which should I book for you?,598
Please book the 4:25pm showing,599
There is a 7:50pm showing at Regal Hollywood Stadium 27. Should I purchase the tickets?,600
"What dramas are playing in theaters in Princeton, NJ?",601
What date would you like me to search for?,602
Yes. Buy tickets for Eddie the Eagle.,603
"Great, how many tickets do you need?",604
What time would you like to book for?,605
There is a 6:45pm showing at AMC Marketfair 10. Should I purchase tickets for there?,606
I have purchased your tickets. Thank you and enjoy the show.,607
Can I see Deadpool tomorrow night?,608
Los Angeles for 2 people at 8 PM,609
Fandango ticketing not available at that theater. Sorry.,610
"Success! Your reservation has been confirmed, please enjoy the show!",611
i would like tickets for whiskey tango foxtrot in the portland oregon area please,612
"Certainly, what day would you like to see it?",613
And how many tickets would you like?,614
"There are many showtimes on Saturday, do you have a time range in mind?",615
that would be perfect thank you so much,616
I have purchased your tickets for the 6:45 showing on Saturday. Enjoy!,617
"Hi what movies are playing near Visalia, California?",618
Friday March 11 at 7:05 pm,619
I have confirmed those tickets for you. Thanks for using our service!,620
I am looking for a 3D movie.,621
What City and State would you like me to look?,622
Great. What day would you like to go?,623
Great. How many tickets do you need?,624
I have reserved those 2 tickets for you for 3/11. Thanks for using our service!,625
Thanks for using our service. Have a great day!,626
There is a showing at 2:20 PM. Does that work for you?,627
I have booked your tickets. Thank you.,628
The Forest currently has a rating of 8% on Rotten Tomatoes.,629
That sounds perfect! Can I get 3 seats for Saturday night in the LA area?,630
7:20 at the AMC La Mirada fits my time frame.,631
I am trying to see 10 Cloverfield Lane tomorrow.,632
I am in Los Angeles.,633
"Thanks, how many tickets would you like?",634
REGAL LA LIVE STADIUM 14 at 12:45 PM,635
Enjoy the show! Thank you for using our service.,636
What day would you like to go?,637
I have successfully purchased your tickets to the 4:05 showing. Enjoy!,638
Are there any good movies out for a ten year old boy?,639
Kung Fu Panda 3 tomorrow around 3 PM,640
How many tickets would you like?,641
What theater or location would you like to go to?,642
"Carmike 16 In Birmingham, AL",643
Would you like to see it in 3D or standard?,644
It is only showing at 12pm. Would you like to book it?,645
I have purchased your tickets. Thank you and enjoy your show!,646
Zootopia is playing at Carmike The Summit 16 at 1:30pm. Would that be acceptable?,647
I have purchased your tickets. Thank you and enjoy the show!,648
What time is Star wars showing at Imagine theater Shelby Township?,649
What date would you like me to look at?,650
How many tickets would you like?,651
What state is that located in?,652
